venue_key,venue_name,city,country,capacity,capacity_values,needs_review,source
MACPHERSON STADIUM,MacPherson Stadium,HONG KONG,CHINA,2000,2000,False,excel_pink_cell
MAGAZZINI GENERALI,Magazzini Generali,MILAN,ITALY,1000,1000,False,excel_pink_cell
MAKUHARI MESSE,Makuhari Messe,CHIBA,JAPAN,48000,9000|48000,True,excel_pink_cell
MAKUHARI MESSE INTERNATIONAL EXHIBITION HALL 2 3,Makuhari Messe International Exhibition Hall 2-3,CHIBA,JAPAN,10000,10000,False,excel_pink_cell
MAKUHARI MESSE INTERNATIONAL EXHIBITION HALL 2 4,Makuhari Messe International Exhibition Hall 2-4,CHIBA,JAPAN,10000,10000,False,excel_pink_cell
MALL OF ASIA ARENA,Mall of Asia Arena,MANILA,PHILIPPINES,15000,15000,False,excel_pink_cell
MEGA STAR ARENA,Mega Star Arena,KUALA LUMPUR,MALAYSIA,5000,5000,False,excel_pink_cell
MEO ARENA,Meo Arena,LISBON,PORTUGAL,20000,20000,False,excel_pink_cell
METLIFE STADIUM,METLIFE STADIUM,"EAST RUTHERFORD, NJ",USA,72000,72000,False,excel_pink_cell
MIZUHO PAYPAY DOME,MIZUHO PayPay Dome,FUKUOKA,JAPAN,47500,47500,False,excel_pink_cell
MOODY CENTER ATX,MOODY CENTER ATX,"AUSTIN, TX",USA,9951,9951,False,excel_pink_cell
MOTORCO MUSIC HALL,Motorco Music Hall,"DURHAM, NC",USA,450,450,False,excel_pink_cell
MOVISTAR ARENA,MOVISTAR ARENA,SANTIAGO,CHILE,14000,14000,False,excel_pink_cell
MYTICKET JAHRHUNDERTHALLE,Myticket Jahrhunderthalle,FRANKFURT,GERMANY,4800,4800,False,excel_pink_cell
NATIONAL HOCKEY STADIUM,NATIONAL HOCKEY STADIUM,KUALA LUMPUR,MALAYSIA,12000,12000,False,excel_pink_cell
NATIONAL STADIUM,National Stadium,BANGKOK,THAILAND,65000,35000|65000,False,excel_pink_cell
NEW FRONTIER THEATER,New Frontier Theater,MANILA,PHILIPPINES,2325,2325,False,excel_pink_cell
NEW TAIPEI EXHIBITION HALL,NEW TAIPEI EXHIBITION HALL,TAIPEI,TAIWAN,7000,7000,False,excel_pink_cell
NIPPON GAISHI HALL,NIPPON GAISHI HALL,NAGOYA,JAPAN,10000,10000,False,excel_pink_cell
NIWALLI,Ääniwalli,HELSINKI,FINLAND,1000,1000,False,excel_pink_cell
NTSU ARENA,NTSU Arena (Linkou Arena),TAIPEI,TAIWAN,15000,15000,False,excel_pink_cell
NTU SPORTS CENTER,NTU SPORTS CENTER,TAIPEI,TAIWAN,4200,4200,False,excel_pink_cell
NUZONE,NUZONE,TAIPEI,TAIWAN,800,800,False,excel_pink_cell
