venue_key,venue_name,city,country,capacity,capacity_values,needs_review,source
CAFE DE LA DANSE,Cafe de la Danse,PARIS,FRANCE,500,500,False,excel_pink_cell
CAMERATA,CAMERATA,HELSINKI,FINLAND,239,239,False,excel_pink_cell
CEBU COLISEUM,Cebu Coliseum,CEBU,PHILIPPINES,5000,5000,False,excel_pink_cell
CENTER STAGE THEATER,Center Stage Theater,"ATLANTA, GA",USA,1050,1050,False,excel_pink_cell
CENTRE BELL,CENTRE BELL,"MONTREAL, QC",CANADA,12799,12799,False,excel_pink_cell
CENTRO CULTURAL CEINA,CENTRO CULTURAL CEINA,SANTIAGO,CHILE,794,794,False,excel_pink_cell
CHINESE CULTURAL CENTER,Chinese Cultural Center,"CALGARY, AB",CANADA,700,700,False,excel_pink_cell
CINE JOIA,Cine Joia,SAO PAULO,BRAZIL,1200,1200,False,excel_pink_cell
CITYNORTH HOTEL,CityNorth Hotel,DUBLIN,IRELAND,700,700,False,excel_pink_cell
CLIMATE PLEDGE ARENA,CLIMATE PLEDGE ARENA,"SEATTLE, WA",USA,18300,13582|18300,False,excel_pink_cell
CLUB DADA,Club Dada,"DALLAS, TX",USA,350,350,False,excel_pink_cell
CLUB VOLTA,Club Volta,COLOGNE,GERMANY,450,450,False,excel_pink_cell
COLISEO,COLISEO,SANTIAGO,CHILE,2500,2500,False,excel_pink_cell
COLUMBIA THEATER,Columbia Theater,BERLIN,GERMANY,1200,800|1200,False,excel_pink_cell
CONCORD MUSIC HALL,Concord Music Hall,"CHICAGO, IL",USA,1490,1490,False,excel_pink_cell
CRYPTO COM ARENA,Crypto.com Arena,"LOS ANGELES, CA",USA,20000,20000,False,excel_pink_cell
DAS BETT,Das Bett,FRANKFURT,GERMANY,500,500,False,excel_pink_cell
DINGWALLS,Dingwalls,LONDON,UNITED KINGDOM,600,600,False,excel_pink_cell
DISTRO MUSIC HALL,Distro Music Hall,"CHICAGO, IL",USA,600,600,False,excel_pink_cell
DOLBY LIVE AT PARK MGM,Dolby Live at Park MGM,"LAS VEGAS, NV",USA,5200,5200,False,excel_pink_cell
DUBAI MEDIA CITY AMPHITHEATRE,Dubai Media City Amphitheatre,DUBAI,UAE,15000,15000,False,excel_pink_cell
EARTH HALL,Earth Hall,LONDON,UNITED KINGDOM,1200,1200,False,excel_pink_cell
ECHOPLEX,ECHOPLEX,"LOS ANGELES, CA",USA,780,780,False,excel_pink_cell
ERGO ARENA,Ergo Arena,GDANSK,POLAND,15000,15000,False,excel_pink_cell
ESCENARIO GNP SEGUROS,ESCENARIO GNP SEGUROS,MONTERREY,MEXICO,4200,4200,False,excel_pink_cell
ESPACO UNIMED,ESPACO UNIMED,SÃO PAULO,BRAZIL,8000,8000,False,excel_pink_cell
ESTADIO GNP SEGUROS,ESTADIO GNP SEGUROS,MEXICO CITY,MEXICO,65000,65000,False,excel_pink_cell
ETIHAD ARENA,ETIHAD ARENA,ABU DHABI,ARAB EMIRATES,18000,18000,False,excel_pink_cell
EVENTIM APOLLO,Eventim Apollo,LONDON,UNITED KINGDOM,5300,5300,False,excel_pink_cell
FIVE JAX,Five Jax,"JACKSONVILLE, FL",USA,1250,1250,False,excel_pink_cell
FLEMINGTON RACECOURSE,Flemington Racecourse,MELBOURNE,AUSTRALIA,120000,120000,False,excel_pink_cell
FLUSHING MEADOWS CORONA PARK,Flushing Meadows Corona Park,"NEW YORK, NY",USA,50000,50000,False,excel_pink_cell
FOLKETS PARK,FOLKETS PARK,HUSKVARNA,SWEDEN,1000,1000,False,excel_pink_cell
FROST BANK CENTER,FROST BANK CENTER,"SAN ANTONIO, TX",USA,19000,19000,False,excel_pink_cell
FUKUOKA SUNPALACE,Fukuoka Sunpalace,FUKUOKA,JAPAN,2316,2316,False,excel_pink_cell
G BOX AT GALAXY MACAU,G Box at Galaxy Macau,MACAU,CHINA,850,850,False,excel_pink_cell
GALAXY ARENA,GALAXY ARENA,MACAU,CHINA,16000,16000,False,excel_pink_cell
